Loss_Di,Loss_Dv,Loss_Gi,Loss_Gv,Di_real_mean,Di_fake_mean,Dv_real_mean,Dv_fake_mean
0.4636,0.3729,2.4312,3.5155,0.8294,0.1017,0.8979,0.0419
0.5208,0.4122,3.3801,3.3597,0.9061,0.1550,0.8778,0.0768
0.4242,0.6439,4.1675,3.0834,0.9187,0.0565,0.7062,0.1231
0.4636,0.5434,4.3999,3.8265,0.7138,0.0207,0.8638,0.1613
0.6381,0.4941,1.9823,3.0433,0.5824,0.0588,0.7704,0.0663
1.2401,0.4529,5.0596,4.1611,0.9903,0.5032,0.9686,0.0675
0.6712,0.6053,4.5076,1.9219,0.6640,0.0179,0.5932,0.0359
0.5289,0.8225,2.6947,6.9081,0.6299,0.0129,0.9469,0.2638
0.4992,0.4599,2.7780,4.6903,0.9515,0.1334,0.8180,0.0552
0.6618,0.5780,2.2803,3.9347,0.6146,0.0734,0.6204,0.0036
0.5147,1.3577,3.3593,6.2576,0.9536,0.0533,0.9814,0.5043
0.4468,0.9199,3.9825,4.0239,0.9436,0.0531,0.4400,0.0051
0.6457,0.3998,4.1424,2.6534,0.8034,0.0951,0.8215,0.0340
0.5974,0.6736,3.2115,2.8640,0.8135,0.2072,0.9912,0.1538
0.5575,0.5019,2.6000,3.3713,0.6730,0.0670,0.9565,0.1029
0.6864,0.6128,2.4425,2.6588,0.6950,0.1904,0.5879,0.0437
0.5124,0.6433,4.5781,4.5598,0.9664,0.1092,0.9708,0.2218
0.6916,0.3504,5.9258,6.0474,0.8569,0.2822,0.8606,0.0065
1.7284,0.8584,1.3650,2.4821,0.1705,0.0135,0.4430,0.0202
0.8549,0.6163,2.4348,2.4032,0.8981,0.3314,0.9876,0.1445
0.7126,0.6755,3.9398,3.5499,0.8770,0.2903,0.8173,0.1954
0.4646,0.4577,4.3056,4.7810,0.8027,0.0480,0.9157,0.1122
0.9904,0.7887,1.8839,3.4036,0.4418,0.0373,0.5683,0.0417
0.7943,0.6256,3.6106,4.5315,0.8678,0.2751,0.9458,0.1262
0.8568,0.4222,4.9517,4.1723,0.9362,0.3431,0.9693,0.0440
0.8632,0.9427,3.6149,2.1895,0.5147,0.0247,0.5066,0.0230
0.6584,0.8330,3.3619,2.3455,0.7883,0.1957,0.8343,0.3319
0.8764,0.5071,3.4844,4.3463,0.5268,0.0246,0.9372,0.1290
0.4015,0.5014,4.2671,4.0907,0.8938,0.0482,0.8024,0.0405
0.7645,0.4440,3.5860,2.9543,0.9212,0.3389,0.7566,0.0438
1.1827,0.5020,3.6023,3.8359,0.4574,0.0251,0.9308,0.0563
0.6765,0.5968,4.1989,3.3339,0.9309,0.2011,0.7160,0.0245
0.4579,0.4753,4.1824,3.4262,0.8668,0.0796,0.9698,0.0711
0.4145,0.3926,3.6503,3.6580,0.8034,0.0288,0.8136,0.0298
0.5153,0.5194,3.7642,4.5323,0.6993,0.0072,0.9929,0.0142
0.3742,0.3928,3.0814,3.5354,0.8672,0.0295,0.8031,0.0194
0.5094,0.4332,3.6995,3.8810,0.9792,0.0945,0.9628,0.0562
0.6349,0.4162,3.7955,4.1994,0.9843,0.1664,0.9578,0.0324
0.3656,0.3494,4.5591,5.5919,0.8361,0.0176,0.8928,0.0059
1.4436,0.5852,0.7850,2.7356,0.2238,0.0275,0.6216,0.0223
1.4404,0.4354,2.3036,2.7437,0.6232,0.5188,0.8852,0.0993
1.0261,0.5610,4.2823,3.8722,0.9899,0.3749,0.9797,0.1256
0.4018,0.3546,5.2279,5.3466,0.8030,0.0118,0.8536,0.0184
0.5253,0.8517,4.4631,2.0115,0.6807,0.0058,0.4918,0.0500
0.4367,0.8182,3.2838,4.8214,0.8404,0.0238,0.9840,0.2481
0.7634,0.5218,2.7484,2.2571,0.6988,0.1933,0.6429,0.0067
0.6268,1.4078,4.6856,7.1602,0.9715,0.1857,0.9973,0.5094
0.3736,0.7982,5.1767,6.4857,0.9423,0.0269,0.4708,0.0061
1.2490,0.7274,1.9364,4.2305,0.3505,0.0393,0.5027,0.0170
